,Site,Valley,Hillside,Ridgetop,TotalArea,number,baseflow_juckem
0,autocatchment4326_WF_ebloomingdaleRd.shp,6.233250594016968,12.296059059678113,61.19313376715535,79.72244342085042,,0.46733499921844424
1,autocatchment4326_WF_hayesDOWN.shp,4.241180592396545,7.418043227436154,48.56385423520745,60.22307805504015,,0.3409039966833578
2,autocatchment4326_WF_hayesUP.shp,3.6629962367104176,6.379600494676647,42.47831128442696,52.52090801581402,,0.29670189405129005
3,autocatchment4326_WF_hwy82UP.shp,14.447376673532654,27.680275844002285,116.30267893351386,158.4303314510488,,0.9517163735456855
4,autocatchment4326_WF_lukensDOWN.shp,16.696862804943983,33.89615451953716,128.1532245288236,178.74624185330475,,1.0906184404961365
5,autocatchment4326_WF_lukensUP.shp,16.449337250740303,33.655105742256204,128.023479363792,178.12792235678853,,1.0857939814720396
6,autocatchment4326_WF_pietschrd.shp,13.075245266824538,25.94987433298187,114.88038223845474,153.90550183826116,,0.9173052252543948
7,autocatchment4326_WF_riverview.shp,1.6584718958672515,3.079469501800632,24.92826550974159,29.666206907409475,,0.16375504917175518
8,autocatchment4326_WF_saunders.shp,14.068691686637356,27.230636365047665,116.19544958819984,157.49477763988486,,0.9438929927881853
9,autocatchment4326_WF_smarthallow.shp,8.261856861286144,17.35992324502483,76.72809140272891,102.34987150903989,,0.6099698699021848
10,autocatchment4326_WF_sportsclubDOWN.shp,9.277816419555728,19.336242974617356,81.96387431048578,110.57793370465886,,0.6630950971533947
11,autocatchment4326_WF_starksDOWN.shp,5.840122013241488,11.07360690120203,58.05034651934567,74.96407543378919,,0.4364330092334735
12,autocatchment4326_WF_thnorthDOWN.shp,8.136635065056232,17.10296196236721,76.6586165273605,101.89821355478394,,0.6060404581090473
13,autocatchment4326_WF_thnorthUP.shp,7.843854639819744,16.448832334374337,73.57586428539932,97.8685512595934,,0.5822548551519666
14,autocatchment4326_WF_thsouth.shp,13.627197794332425,26.679400617352098,115.73873244000929,156.0453308516938,,0.9328856139535902
15,autocatchment4326_WF_wfscUP.shp,9.014011204666344,19.199613643493283,81.89485186879976,110.1084767169594,,0.6595955385781318
16,autocatchment4326_WF_yoder.shp,7.012120761452632,14.341227692932788,67.21546057655767,88.5688090309431,,0.5234752158365321
