"datetime","WF_smarthallowTRIB","WF_mayerTRIB","WF_hwy82TRIB_UP","WF_temproverHALL","SB_confluence","WF_bloomTRIB","WF_temproverSalemRidge","WF_temprover2","WF_hwy82TRIB_DOWN"
2023-04-28 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-28 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-29 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
